CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
NNB36MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;NEGRO BLANCO;36;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB37MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;NEGRO BLANCO;37;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB38MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;NEGRO BLANCO;38;NIKE;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB39MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;NEGRO BLANCO;39;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB40MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;NEGRO BLANCO;40;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB41MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;NEGRO BLANCO;41;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB42MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;NEGRO BLANCO;42;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB43MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;NEGRO BLANCO;43;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB44MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;NEGRO BLANCO;44;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB45MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;NEGRO BLANCO;45;NIKE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNR40MAX-20002;ZAPATO NIKE AIR MAX NEGRO ROJO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;NEGRO ROJO;40;NIKE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNR41MAX-20002;ZAPATO NIKE AIR MAX NEGRO ROJO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;NEGRO ROJO;41;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
