CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
EABAM40EA-10001;ZAPATO EMPORIO ARMANI BLANCO AZUL MORADO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;AZUL MORADO;40;ARMANI ;;;1;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABAM41EA-10001;ZAPATO EMPORIO ARMANI BLANCO AZUL MORADO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;AZUL MORADO;41;ARMANI ;;;3;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABAM42EA-10001;ZAPATO EMPORIO ARMANI BLANCO AZUL MORADO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;AZUL MORADO;42;ARMANI ;;;3;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABAM43EA-10001;ZAPATO EMPORIO ARMANI BLANCO AZUL MORADO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;AZUL MORADO;43;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABAM44EA-10001;ZAPATO EMPORIO ARMANI BLANCO AZUL MORADO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;AZUL MORADO;44;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABAM45EA-10001;ZAPATO EMPORIO ARMANI BLANCO AZUL MORADO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;AZUL MORADO;45;ARMANI ;;;1;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABGN40EA-20002;ZAPATO EMPORIO ARMANI BLANCO GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;GRIS NEGRO;40;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABGN41EA-20002;ZAPATO EMPORIO ARMANI BLANCO GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;GRIS NEGRO;41;ARMANI ;;;3;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABGN42EA-20002;ZAPATO EMPORIO ARMANI BLANCO GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;GRIS NEGRO;42;ARMANI ;;;3;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABGN43EA-20002;ZAPATO EMPORIO ARMANI BLANCO GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;GRIS NEGRO;43;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
