1;CALZADO;CATEGORIA
2;TEXTILES;CATEGORIA
3;ACCESORIOS;CATEGORIA
1;NIKE;MARCA
2;JORDAN;MARCA
3;REEBOOK;MARCA
4;CONVERSE;MARCA
5;NEW BALANCE;MARCA
6;ADIDAS;MARCA
7;PUMA;MARCA
8;UNDER ARMOUR;MARCA
9;ALEVATE;MARCA
10;PITBULL;MARCA
11;NICOBOCO;MARCA
12;VANS;MARCA
13;FASHION;MARCA
14;MR;MARCA
15;CROCS;MARCA
16;ECO-FRIENDLY;MARCA
17;SPALDING;MARCA
18;WILSON;MARCA
19;XIAOGUICAI;MARCA
20;SIN MARCA;MARCA
21;MONT GREEN;MARCA
1;UNICA;TALLA
2;S;TALLA
3;M;TALLA
4;L;TALLA
5;XL;TALLA
6;XXL;TALLA
7;XS;TALLA
8;XXXL;TALLA
120;20;TALLA
121;21;TALLA
122;22;TALLA
123;23;TALLA
124;24;TALLA
125;25;TALLA
126;26;TALLA
127;27;TALLA
128;28;TALLA
129;29;TALLA
130;30;TALLA
131;31;TALLA
132;32;TALLA
133;33;TALLA
134;34;TALLA
135;35;TALLA
136;36;TALLA
137;37;TALLA
138;38;TALLA
139;39;TALLA
140;40;TALLA
141;41;TALLA
142;42;TALLA
143;43;TALLA
144;44;TALLA
145;45;TALLA
146;46;TALLA
147;47;TALLA
148;48;TALLA
149;49;TALLA
150;50;TALLA
201;ZAPATO;ARTICULO / SUBCATEGORIA
202;SHORT;ARTICULO / SUBCATEGORIA
203;MONO;ARTICULO / SUBCATEGORIA
204;PANTALON;ARTICULO / SUBCATEGORIA
205;FRANELA MANGA CORTA;ARTICULO / SUBCATEGORIA
206;FRANELA MANGA LARGA;ARTICULO / SUBCATEGORIA
207;CHOLAS;ARTICULO / SUBCATEGORIA
208;SWEATER;ARTICULO / SUBCATEGORIA
209;GORRAS;ARTICULO / SUBCATEGORIA
210;MORRAL;ARTICULO / SUBCATEGORIA
211;CHEMISE;ARTICULO / SUBCATEGORIA
212;MEDIAS;ARTICULO / SUBCATEGORIA
213;BOLSOS;ARTICULO / SUBCATEGORIA
214;TERMOS;ARTICULO / SUBCATEGORIA
215;CHAQUETAS;ARTICULO / SUBCATEGORIA
216;CHALECOS;ARTICULO / SUBCATEGORIA
217;FRANELILLA DEPORTIVA;ARTICULO / SUBCATEGORIA
218;BOTAS;ARTICULO / SUBCATEGORIA
219;LICRA;ARTICULO / SUBCATEGORIA
220;BALON;ARTICULO / SUBCATEGORIA
221;BOXER;ARTICULO / SUBCATEGORIA
222;COLCHONETAS YOGA;ARTICULO / SUBCATEGORIA
223;KOALA;ARTICULO / SUBCATEGORIA
224;LEGGINS;ARTICULO / SUBCATEGORIA
225;LICRAS DEPORTIVAS;ARTICULO / SUBCATEGORIA
226;PELOTA;ARTICULO / SUBCATEGORIA
227;RAQUETAS;ARTICULO / SUBCATEGORIA
228;CUERDAS;ARTICULO / SUBCATEGORIA
229;COPA;ARTICULO / SUBCATEGORIA
301;DEPORTIVO;LINEA
302;CASUAL;LINEA
303;ELEGANTE;LINEA
304;PLAYERO;LINEA
305;CONFORT PLAST;LINEA
306;MILITAR;LINEA
401;DAMA;GENERAL / GENERO
402;CABALLERO;GENERAL / GENERO
403;NIÑOS;GENERAL / GENERO
404;UNISEX;GENERAL / GENERO
501;CORTE BAJO;SUBLINEA / CORTE
502;BOTIN;SUBLINEA / CORTE
503;BOTA;SUBLINEA / CORTE
504;ALGODÓN;SUBLINEA / CORTE
505;DRIFT;SUBLINEA / CORTE
506;CERRADA;SUBLINEA / CORTE
507;ABIERTA;SUBLINEA / CORTE
508;C/ MALLA;SUBLINEA / CORTE
509;CORTE ALTO;SUBLINEA / CORTE
510;LICRA;SUBLINEA / CORTE
511;PEQUEÑO;SUBLINEA / CORTE
512;GRANDE;SUBLINEA / CORTE
513;PLAYERO;SUBLINEA / CORTE
514;PORTATIL;SUBLINEA / CORTE
515;FUTBOL;SUBLINEA / CORTE
516;LICRA;SUBLINEA / CORTE
517;BASKETBALL;SUBLINEA / CORTE
518;TENIS;SUBLINEA / CORTE
519;PING PONG;SUBLINEA / CORTE
520;ATLETISMO;SUBLINEA / CORTE
521;GENERICO;SUBLINEA / CORTE
522;CORTE ALTO;SUBLINEA / CORTE
601;VISERA PLANA;MODELO
602;VISERA CURVA;MODELO
603;ESTAMPADO;MODELO
604;UNICOLOR ;MODELO
605;BICOLOR;MODELO
606;TRICOLOR ;MODELO
607;MULTICOLOR;MODELO
608;MANGA CORTA;MODELO
609;MANGA LARGA;MODELO
610;CUELLO EN V;MODELO
611;7 PUNTOS;MODELO
612;JORDAN RETRO 4;MODELO
613;RETRO 6;MODELO
614;SUPER STAR;MODELO
615;JORDAN RETRO 4;MODELO
616;JORDAN RETRO 4 EDICION ESPECIAL;MODELO
617;LEBRON 4 GRAFITI;MODELO
618;BAD BUNNY;MODELO
619;BOTIN BLAZER;MODELO
620;ZOOM  RUNNER;MODELO
621;ZOOM PEGASUS;MODELO
622;ZOOM AIR RUNNER;MODELO
623;290 C/ VALVULA;MODELO
624;AIR FORCE ONE;MODELO
625;RETRO 1;MODELO
626;TACO PHANTON;MODELO
627;TACO;MODELO
628;SEMI TACO;MODELO
