CO_ART;ART_DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
NVB40M602-10001;BOTIN NIKE BO JACKSON VERDE BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;VERDE BLANCO;40;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NVB41M602-10001;BOTIN NIKE BO JACKSON VERDE BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;VERDE BLANCO;41;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NVB42M602-10001;BOTIN NIKE BO JACKSON VERDE BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;VERDE BLANCO;42;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NVB43M602-10001;BOTIN NIKE BO JACKSON VERDE BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;VERDE BLANCO;43;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NVB44M602-10001;BOTIN NIKE BO JACKSON VERDE BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;VERDE BLANCO;44;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NVB45M602-10001;BOTIN NIKE BO JACKSON VERDE BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;VERDE BLANCO;45;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBA40M602-20002;BOTIN NIKE BO JACKSON BLANCO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO AZUL;40;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBA41M602-20002;BOTIN NIKE BO JACKSON BLANCO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO AZUL;41;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBA42M602-20002;BOTIN NIKE BO JACKSON BLANCO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO AZUL;42;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBA43M602-20002;BOTIN NIKE BO JACKSON BLANCO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO AZUL;43;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBA44M602-20002;BOTIN NIKE BO JACKSON BLANCO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO AZUL;44;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBA45M602-20002;BOTIN NIKE BO JACKSON BLANCO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO AZUL;45;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBB40M602-30003;BOTIN NIKE BO JACKSON BLANCO BEIGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO BEIGE;40;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBB41M602-30003;BOTIN NIKE BO JACKSON BLANCO BEIGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO BEIGE;41;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBB42M602-30003;BOTIN NIKE BO JACKSON BLANCO BEIGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO BEIGE;42;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBB43M602-30003;BOTIN NIKE BO JACKSON BLANCO BEIGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO BEIGE;43;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBB44M602-30003;BOTIN NIKE BO JACKSON BLANCO BEIGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO BEIGE;44;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBB45M602-30003;BOTIN NIKE BO JACKSON BLANCO BEIGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO BEIGE;45;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBN40M602-40004;BOTIN NIKE BO JACKSON BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO NEGRO;40;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBN41M602-40004;BOTIN NIKE BO JACKSON BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO NEGRO;41;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBN42M602-40004;BOTIN NIKE BO JACKSON BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO NEGRO;42;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBN43M602-40004;BOTIN NIKE BO JACKSON BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO NEGRO;43;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBN44M602-40004;BOTIN NIKE BO JACKSON BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO NEGRO;44;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
