CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
CVA34BT-10001;BOTIN CONVERSE AZUL;CALZADO;DAMA;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;AZUL;34;CONVERSE;;;2;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVA35BT-10001;BOTIN CONVERSE AZUL;CALZADO;DAMA;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;AZUL;35;CONVERSE;;;6;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVA38BT-10001;BOTIN CONVERSE AZUL;CALZADO;DAMA;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;AZUL;38;CONVERSE;;;1;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVA39BT-10001;BOTIN CONVERSE AZUL;CALZADO;DAMA;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;AZUL;39;CONVERSE;;;2;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVA43BT-10001;BOTIN CONVERSE AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;AZUL;43;CONVERSE;;;4;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVA44BT-10001;BOTIN CONVERSE AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;AZUL;44;CONVERSE;;;4;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVB34BT-20002;BOTIN CONVERSE NEGRO;CALZADO;DAMA;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;NEGRO;34;CONVERSE;;;4;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVB35BT-20002;BOTIN CONVERSE NEGRO;CALZADO;DAMA;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;NEGRO;35;CONVERSE;;;4;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVB36BT-20002;BOTIN CONVERSE NEGRO;CALZADO;DAMA;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;NEGRO;36;CONVERSE;;;4;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVB37BT-20002;BOTIN CONVERSE NEGRO;CALZADO;DAMA;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;NEGRO;37;CONVERSE;;;3;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVB38BT-20002;BOTIN CONVERSE NEGRO;CALZADO;DAMA;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;NEGRO;38;CONVERSE;;;2;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVB39BT-20002;BOTIN CONVERSE NEGRO;CALZADO;DAMA;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;NEGRO;39;CONVERSE;;;3;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVN40BT-20002;BOTIN CONVERSE NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;NEGRO;40;CONVERSE;;;2;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVN41BT-20002;BOTIN CONVERSE NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;NEGRO;41;CONVERSE;;;5;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
CVN42BT-20002;BOTIN CONVERSE NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;CONVERSE;NEGRO;42;CONVERSE;;;5;;;;;;1;15;0005700003577CI11;1;25998807;5;BT
