CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
JN40M813-20002;BOTIN JORDAN RETRO 3 NEGRO;1;402;201;301;502;678;7011;140;2;;;1;;;;;;1;55;0005700003577CI11;1;25998807;5;M813
JN41M813-20002;BOTIN JORDAN RETRO 3 NEGRO;1;402;201;301;502;678;7011;141;2;;;2;;;;;;1;55;0005700003577CI11;1;25998807;5;M813
JN42M813-20002;BOTIN JORDAN RETRO 3 NEGRO;1;402;201;301;502;678;7011;142;2;;;2;;;;;;1;55;0005700003577CI11;1;25998807;5;M813
JN43M813-20002;BOTIN JORDAN RETRO 3 NEGRO;1;402;201;301;502;678;7011;143;2;;;3;;;;;;1;55;0005700003577CI11;1;25998807;5;M813
JN44M813-20002;BOTIN JORDAN RETRO 3 NEGRO;1;402;201;301;502;678;7011;144;2;;;2;;;;;;1;55;0005700003577CI11;1;25998807;5;M813
JN45M813-20002;BOTIN JORDAN RETRO 3 NEGRO;1;402;201;301;502;678;7011;145;2;;;2;;;;;;1;55;0005700003577CI11;1;25998807;5;M813
JNG40M813-40004;BOTIN JORDAN RETRO 3 NEGRO GRIS;1;402;201;301;502;678;7014;140;2;;;1;;;;;;1;55;0005700003577CI11;1;25998807;5;M813
JNG41M813-40004;BOTIN JORDAN RETRO 3 NEGRO GRIS;1;402;201;301;502;678;7014;141;2;;;2;;;;;;1;55;0005700003577CI11;1;25998807;5;M813
JNG42M813-40004;BOTIN JORDAN RETRO 3 NEGRO GRIS;1;402;201;301;502;678;7014;142;2;;;2;;;;;;1;55;0005700003577CI11;1;25998807;5;M813
JNG43M813-40004;BOTIN JORDAN RETRO 3 NEGRO GRIS;1;402;201;301;502;678;7014;143;2;;;3;;;;;;1;55;0005700003577CI11;1;25998807;5;M813
JNG44M813-40004;BOTIN JORDAN RETRO 3 NEGRO GRIS;1;402;201;301;502;678;7014;144;2;;;2;;;;;;1;55;0005700003577CI11;1;25998807;5;M813
JNG45M813-40004;BOTIN JORDAN RETRO 3 NEGRO GRIS;1;402;201;301;502;678;7014;145;2;;;2;;;;;;1;55;0005700003577CI11;1;25998807;5;M813
UBA40K157-10001;ZAPATO UNDER ARMOUR HOVR BLANCO AZUL MARIÑO;1;402;201;301;501;685;7033;140;8;;;2;;;;;;1;65;0005700003577CI11;1;25998807;5;K157
UBA41K157-10001;ZAPATO UNDER ARMOUR HOVR BLANCO AZUL MARIÑO;1;402;201;301;501;685;7033;141;8;;;4;;;;;;1;65;0005700003577CI11;1;25998807;5;K157
