CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
NNB36MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;1;401;201;301;501;687;7039;136;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB37MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;1;401;201;301;501;687;7039;137;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB38MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;1;401;201;301;501;687;7039;138;1;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB39MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;1;401;201;301;501;687;7039;139;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB40MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;1;402;201;301;501;687;7039;140;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB41MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;1;402;201;301;501;687;7039;141;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB42MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;1;402;201;301;501;687;7039;142;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB43MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;1;402;201;301;501;687;7039;143;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB44MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;1;402;201;301;501;687;7039;144;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNB45MAX-10001;ZAPATO NIKE AIR MAX NEGRO BLANCO;1;402;201;301;501;687;7039;145;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNR40MAX-20002;ZAPATO NIKE AIR MAX NEGRO ROJO;1;402;201;301;501;687;7099;140;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNR41MAX-20002;ZAPATO NIKE AIR MAX NEGRO ROJO;1;402;201;301;501;687;7099;141;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNR42MAX-20002;ZAPATO NIKE AIR MAX NEGRO ROJO;1;402;201;301;501;687;7099;142;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNR43MAX-20002;ZAPATO NIKE AIR MAX NEGRO ROJO;1;402;201;301;501;687;7099;143;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNR44MAX-20002;ZAPATO NIKE AIR MAX NEGRO ROJO;1;402;201;301;501;687;7099;144;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NNR45MAX-20002;ZAPATO NIKE AIR MAX NEGRO ROJO;1;402;201;301;501;687;7099;145;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB36MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;1;401;201;301;501;687;7081;136;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB37MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;1;401;201;301;501;687;7081;137;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB38MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;1;401;201;301;501;687;7081;138;1;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB39MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;1;401;201;301;501;687;7081;139;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB40MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;1;402;201;301;501;687;7081;140;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB41MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;1;402;201;301;501;687;7081;141;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB42MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;1;402;201;301;501;687;7081;142;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB43MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;1;402;201;301;501;687;7081;143;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB44MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;1;402;201;301;501;687;7081;144;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB45MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;1;402;201;301;501;687;7081;145;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBR36MAX-40004;ZAPATO NIKE AIR MAX BLANCO ROSADO;1;401;201;301;501;687;7176;136;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBR37MAX-40004;ZAPATO NIKE AIR MAX BLANCO ROSADO;1;401;201;301;501;687;7176;137;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBR38MAX-40004;ZAPATO NIKE AIR MAX BLANCO ROSADO;1;401;201;301;501;687;7176;138;1;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBR39MAX-40004;ZAPATO NIKE AIR MAX BLANCO ROSADO;1;401;201;301;501;687;7176;139;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBR40MAX-40004;ZAPATO NIKE AIR MAX BLANCO ROSADO;1;401;201;301;501;687;7176;140;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB40MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;1;402;201;301;501;687;7334;140;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB41MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;1;402;201;301;501;687;7334;141;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB42MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;1;402;201;301;501;687;7334;142;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB43MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;1;402;201;301;501;687;7334;143;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB44MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;1;402;201;301;501;687;7334;144;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB45MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;1;402;201;301;501;687;7334;145;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN40MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;1;402;201;301;501;687;7335;140;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN41MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;1;402;201;301;501;687;7335;141;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
