CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
BCKM5167-10001;BOLSO CALVIN KLEIN MOSTAZA;2;404;213;301;521;645;7246;1;22;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BCKN5167-20002;BOLSO CALVIN KLEIN NEGRO ;2;404;213;301;521;645;7011;1;22;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BCKV5167-30003;BOLSO CALVIN KLEIN VINOTINTO;2;404;213;301;521;645;7237;1;22;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BCKAM5167-40004;BOLSO CALVIN KLEIN AZUL MARINO;2;404;213;301;521;645;7028;1;22;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BCKRV5167-50005;BOLSO CALVIN KLEIN ROSA VIEJA ;2;404;213;301;521;645;7337;1;22;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJN1298-10001;BOLSO JORDAN NEGRO ;2;404;213;301;521;645;7011;1;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJM1298-20002;BOLSO JORDAN MOSTAZA;2;404;213;301;521;645;7246;1;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJR1298-30003;BOLSO JORDAN ROSADO;2;404;213;301;521;645;7344;1;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJVA1298-40004;BOLSO JORDAN VERDE AZULADO;2;404;213;301;521;645;7230;1;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJVO1298-50005;BOLSO JORDAN VERDE OLIVA;2;404;213;301;521;645;7345;1;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJM1298-60006;BOLSO JORDAN MORADO;2;404;213;301;521;645;7053;1;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNN9517-10001;BOLSO NIKE NEGRO;2;404;213;301;521;645;7011;1;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNB9517-20002;BOLSO NIKE BEIGE;2;404;213;301;521;645;7187;1;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNR9517-30003;BOLSO NIKE ROSADO;2;404;213;301;521;645;7344;1;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNAR9517-40004;BOLSO NIKE AZUL REY;2;404;213;301;521;645;7098;1;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNVO9517-50005;BOLSO NIKE VERDE OLIVA;2;404;213;301;521;645;7345;1;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJR2115-10001;BOLSO JORDAN ROJO ;2;404;213;301;521;645;7084;1;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJAM2115-20002;BOLSO JORDAN AZUL MARINO;2;404;213;301;521;645;7028;1;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJN2115-30003;BOLSO JORDAN NEGRO ;2;404;213;301;521;645;7011;1;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJG2115-40004;BOLSO JORDAN GRIS;2;404;213;301;521;645;7209;1;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNAR9024-10001;BOLSO NIKE AZUL REY;2;404;213;301;521;645;7098;1;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNN9024-20002;BOLSO NIKE NEGRO;2;404;213;301;521;645;7011;1;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNG9024-30003;BOLSO NIKE GRIS;2;404;213;301;521;645;7209;1;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNR9024-40004;BOLSO NIKE ROJO ;2;404;213;301;521;645;7084;1;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNN61605-10001;BOLSO NIKE NEGRO;2;404;213;301;521;645;7011;1;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
