CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
CVA34BT-10001;BOTIN CONVERSE AZUL;1;401;201;301;502;644;7085;134;4;;;2;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVA35BT-10001;BOTIN CONVERSE AZUL;1;401;201;301;502;644;7085;135;4;;;6;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVA38BT-10001;BOTIN CONVERSE AZUL;1;401;201;301;502;644;7085;138;4;;;1;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVA39BT-10001;BOTIN CONVERSE AZUL;1;401;201;301;502;644;7085;139;4;;;2;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVA43BT-10001;BOTIN CONVERSE AZUL;1;402;201;301;502;644;7085;143;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVA44BT-10001;BOTIN CONVERSE AZUL;1;402;201;301;502;644;7085;144;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB34BT-20002BOTIN CONVERSE NEGRO;BOTIN CONVERSE NEGRO;1;401;201;301;502;644;7011;134;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB35BT-20002;BOTIN CONVERSE NEGRO;1;401;201;301;502;644;7011;135;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB36BT-20002;BOTIN CONVERSE NEGRO;1;401;201;301;502;644;7011;136;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB37BT-20002;BOTIN CONVERSE NEGRO;1;401;201;301;502;644;7011;137;4;;;3;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB38BT-20002;BOTIN CONVERSE NEGRO;1;401;201;301;502;644;7011;138;4;;;2;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB39BT-20002;BOTIN CONVERSE NEGRO;1;401;201;301;502;644;7011;139;4;;;3;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVN40BT-20002;BOTIN CONVERSE NEGRO;1;402;201;301;502;644;7011;140;4;;;2;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVN41BT-20002;BOTIN CONVERSE NEGRO;1;402;201;301;502;644;7011;141;4;;;5;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVN42BT-20002;BOTIN CONVERSE NEGRO;1;402;201;301;502;644;7011;142;4;;;5;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVN43BT-20002;BOTIN CONVERSE NEGRO;1;402;201;301;502;644;7011;143;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVN44BT-20002;BOTIN CONVERSE NEGRO;1;402;201;301;502;644;7011;144;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB34BT-30003;BOTIN CONVERSE BLANCO;1;401;201;301;502;644;7009;134;4;;;2;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB35BT-30003;BOTIN CONVERSE BLANCO;1;401;201;301;502;644;7009;135;4;;;2;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB36BT-30003;BOTIN CONVERSE BLANCO;1;401;201;301;502;644;7009;136;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB37BT-30003;BOTIN CONVERSE BLANCO;1;401;201;301;502;644;7009;137;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB38BT-30003;BOTIN CONVERSE BLANCO;1;401;201;301;502;644;7009;138;4;;;3;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB39BT-30003;BOTIN CONVERSE BLANCO;1;401;201;301;502;644;7009;139;4;;;2;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB40BT-30003;BOTIN CONVERSE BLANCO;1;401;201;301;502;644;7009;140;4;;;3;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB40BT-30003;BOTIN CONVERSE BLANCO;1;402;201;301;502;644;7009;140;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB41BT-30003;BOTIN CONVERSE BLANCO;1;402;201;301;502;644;7009;141;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB42BT-30003;BOTIN CONVERSE BLANCO;1;402;201;301;502;644;7009;142;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB43BT-30003;BOTIN CONVERSE BLANCO;1;402;201;301;502;644;7009;143;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
CVB44BT-30003;BOTIN CONVERSE BLANCO;1;402;201;301;502;644;7009;144;4;;;4;;;;;;1;15;0005700003577CI11;;25998807;5;BT
